id,price,address,bed,bath,type
1,3300,2,2,2,Apartment
2,4200,2,2,2,Apartment
3,4230,2,3,2,Apartment
4,2500,1,1,1,Apartment
5,3245,1,2,2,Apartment
6,3575,1,2,2,Apartment
7,2000,19,1,1,Apartment
8,2335,19,2,2,Apartment
9,2850,19,3,2,Apartment
10,1900,9,1,1,Apartment
11,2250,9,2,2,Apartment
12,3045,9,3,3,Apartment
13,2000,6,1,1,Apartment
14,2400,6,2,2,Apartment
15,3200,6,3,2,Apartment
16,3150,2,2,2,Apartment
17,3572,2,2,2,Apartment
18,4000,2,2,2,Apartment
19,2450,2,1,1,Apartment
20,2900,2,2,2,Apartment
21,3900,2,3,2,Apartment
22,2050,15,2,2,House
23,2350,15,3,3,House
24,2500,15,4,3,House
25,1750,8,1,1,Apartment
26,2450,2,1,1,Apartment
27,1750,18,1,2,Apartment
28,2150,18,2,2,Apartment
29,3250,5,3,2,House
30,2000,6.5,1,1,Apartment
31,2325,6.5,2,2,Apartment
32,3000,6.5,3,2,Apartment
33,1900,18,1,1,Apartment
34,2450,18,2,2,Apartment
35,3000,2,2,2,Apartment
36,6000,2,3,3,Apartment
37,3200,18,3,2,Apartment
38,2150,6,1,1,Apartment
39,2700,6,2,2,Apartment
40,2050,8,1,1,Apartment
41,3650,2,2,2,Apartment
42,3750,2,2,2,Apartment
43,2750,19,2,2,Apartment
44,3300,2,2,2,Apartment
45,4200,2,2,2,Apartment
46,4230,2,3,2,Apartment
47,2500,1,1,1,Apartment
48,3245,1,2,2,Apartment
49,3575,1,2,2,Apartment
50,2000,19,1,1,Apartment
51,2335,19,2,2,Apartment
52,2850,19,3,2,Apartment
53,1900,9,1,1,Apartment
54,2250,9,2,2,Apartment
55,3045,9,3,3,Apartment
56,2000,6,1,1,Apartment
57,2400,6,2,2,Apartment
58,3200,6,3,2,Apartment
59,2450,2,1,1,Apartment
60,2900,2,2,2,Apartment
61,3900,2,3,2,Apartment
62,3150,2,2,2,Apartment
63,3572,2,2,2,Apartment
64,4000,2,2,2,Apartment
65,2050,15,2,2,House
66,2350,15,3,3,House
67,2500,15,4,3,House
68,1750,8,1,1,Apartment
69,2450,2,1,1,Apartment
70,1750,18,1,2,Apartment
71,2150,18,2,2,Apartment
72,3250,5,3,2,House
73,2000,6.5,1,1,Apartment
74,2325,6.5,2,2,Apartment
75,3000,6.5,3,2,Apartment
76,1900,18,1,1,Apartment
77,2450,18,2,2,Apartment
78,3000,2,2,2,Apartment
79,6000,2,3,3,Apartment
80,3200,18,3,2,Apartment
81,2150,6,1,1,Apartment
82,2700,6,2,2,Apartment
83,2050,8,1,1,Apartment
84,3650,2,2,2,Apartment
85,3750,2,2,2,Apartment
86,2750,19,2,2,Apartment
87,3300,2,2,2,Apartment
88,4200,2,2,2,Apartment
89,4230,2,3,2,Apartment
90,2500,1,1,1,Apartment
91,3245,1,2,2,Apartment
92,3575,1,2,2,Apartment
93,2000,19,1,1,Apartment
94,2335,19,2,2,Apartment
95,2850,19,3,2,Apartment
96,1900,9,1,1,Apartment
97,2250,9,2,2,Apartment
98,3045,9,3,3,Apartment
99,2000,6,1,1,Apartment
100,2400,6,2,2,Apartment
101,3200,6,3,2,Apartment
102,2450,2,1,1,Apartment
103,2900,2,2,2,Apartment
104,3900,2,3,2,Apartment
105,3150,2,2,2,Apartment
106,3572,2,2,2,Apartment
107,4000,2,2,2,Apartment
108,2050,15,2,2,House
109,2350,15,3,3,House
110,2500,15,4,3,House
111,1750,8,1,1,Apartment
112,2450,2,1,1,Apartment
113,1750,18,1,2,Apartment
114,2150,18,2,2,Apartment
115,3250,5,3,2,House
116,2000,6.5,1,1,Apartment
117,2325,6.5,2,2,Apartment
118,3000,6.5,3,2,Apartment
119,1900,18,1,1,Apartment
120,2450,18,2,2,Apartment
121,3000,2,2,2,Apartment
122,6000,2,3,3,Apartment
123,3200,18,3,2,Apartment
124,2150,6,1,1,Apartment
125,2700,6,2,2,Apartment
126,2050,8,1,1,Apartment
127,3650,2,2,2,Apartment
128,3750,2,2,2,Apartment
129,2750,19,2,2,Apartment
130,3300,2,2,2,Apartment
131,4200,2,2,2,Apartment
132,4230,2,3,2,Apartment
133,2500,1,1,1,Apartment
134,3245,1,2,2,Apartment
135,3575,1,2,2,Apartment
136,2000,19,1,1,Apartment
137,2335,19,2,2,Apartment
138,2850,19,3,2,Apartment
139,1900,9,1,1,Apartment
140,2250,9,2,2,Apartment
141,3045,9,3,3,Apartment
142,2000,6,1,1,Apartment
143,2400,6,2,2,Apartment
144,3200,6,3,2,Apartment
145,3150,2,2,2,Apartment
146,3572,2,2,2,Apartment
147,4000,2,2,2,Apartment
148,2450,2,1,1,Apartment
149,2900,2,2,2,Apartment
150,3900,2,3,2,Apartment
151,2050,15,2,2,House
152,2350,15,3,3,House
153,2500,15,4,3,House
154,1750,8,1,1,Apartment
155,2450,2,1,1,Apartment
156,1750,18,1,2,Apartment
157,2150,18,2,2,Apartment
158,3250,5,3,2,House
159,2000,6.5,1,1,Apartment
160,2325,6.5,2,2,Apartment
161,3000,6.5,3,2,Apartment
162,1900,18,1,1,Apartment
163,2450,18,2,2,Apartment
164,3000,2,2,2,Apartment
165,6000,2,3,3,Apartment
166,3200,18,3,2,Apartment
167,2150,6,1,1,Apartment
168,2700,6,2,2,Apartment
169,2050,8,1,1,Apartment
170,3650,2,2,2,Apartment
171,3750,2,2,2,Apartment
172,2750,19,2,2,Apartment
173,3300,2,2,2,Apartment
174,4200,2,2,2,Apartment
175,4230,2,3,2,Apartment
176,2500,1,1,1,Apartment
177,3245,1,2,2,Apartment
178,3575,1,2,2,Apartment
