id,price,address,bedroom,bathroom,area
1,"€550,000","102 Iveragh Road, Whitehall, Whitehall, Dublin 9",3 Bed,2 Bath,175 m²
2,"€675,000","76 Taney Road, Dundrum, Dundrum, Dublin 14",2 Bath,2 Bath,158 m²
3,"€1,750,000","9 Iona Drive, Glasnevin, Dublin 9",175 m²,8 Bath,230 m²
4,"€450,000","61 Church Avenue, Drumcondra, Dublin 9",4 Bed,1 Bath,94 m²
5,"€485,000","28 Claremont Drive, Glasnevin, Dublin 11",2 Bath,2 Bath,121 m²
6,"€349,950","8 Southern Cross Avenue, Inchicore, Inchicore, Dublin 8",158 m²,1 Bath,81 m²
7,"€395,000","Apartment 10, Temple Hill, Terenure, Dublin 6",6 Bed,2 Bath,75 m²
8,"From €825,000","Mews 2, Rear 93 Booterstown Avenue, Booterstown, Co. Dublin",8 Bath,2 Bath,85 m²
9,Price on Application,"Cullenswood Lodge, 12 Richmond Avenue South, Dartry, Dublin 6",230 m²,3 Bath,170 m²
10,"€595,000","14 Verbena Park, Sutton, Dublin 13",2 Bed,1 Bath,132 m²
11,"€1,400,000","28 Saint Kevin's Road, South Circular Road, Portobello, Dublin 8",1 Bath,2 Bath,123 m²
12,"€550,000","12 Saint Martin's Drive, Kimmage, Kimmage, Dublin 6W",94 m²,2 Bath,108 m²
13,"€795,000","75 Fernwood Avenue, Springfield, Tallaght, Dublin 24",3 Bed,1 Bath,82 m²
14,"€550,000","39 Leinster Street North, Phibsborough, Dublin 7",2 Bath,2 Bath,126 m²
15,"€275,000","18 Muckross Green, Perrystown, Dublin 12",121 m²,1 Bath,98 m²
16,"€695,000","41 Harold's Cross Road, Harold's Cross, Dublin 6",3 Bed,1 Bath,75 m²
17,"€470,000","Apartment 28, House 1, Linden Square, Blackrock, Co. Dublin",1 Bath,2 Bath,130 m²
18,"€415,000",,81 m²,,
19,"€845,000",,2 Bed,,
20,"From €555,000",,2 Bath,,
21,"€540,000","Apartment 21, Block 5, Galley Quay, Dublin 2",3 Bed,2 Bath,82 m²
22,"€285,000","2 Blakes Court, Clonsilla, Dublin 15",2 Bath,1 Bath,84 m²
23,"€330,000","17 Ribh Road, Artane, Artane, Dublin 5",82 m²,1 Bath,88 m²
24,"€450,000","15 Rowan Hall, Milltown, Dublin 6",3 Bed,2 Bath,132 m²
25,"€495,000","496 Collins Avenue, Whitehall, Dublin 9",1 Bath,2 Bath,50 m²
26,"€375,000","101 The Clayton, The Gasworks, South Lotts Road, Ringsend, Dublin 4",84 m²,1 Bath,139 m²
27,"€370,000","32 Knockmaree, Chapelizod, Chapelizod, Dublin 20",2 Bed,2 Bath,72 m²
28,"€740,000","60 Leinster Park, Harold's Cross Road, Harold's Cross, Dublin 6",1 Bath,3 Bath,90 m²
29,"€395,000","3 Allen Terrace, Phibsborough, Dublin 7",2 Bed,1 Bath,124 m²
